fg_product_code,fg_type,fg_name,fg_product_sys_id,input_product_code,input_type,input_product_sys_id,ratio,unit_cost_dipakai_engine,unit_cost_seharusnya,status_cost_hulu,understatement_baris
CSTPTY2606005768,PTY,PTY 200/72/RND/EBSD/HIM/DH/N/1/Z,33825,CSTPOY2606003662,POY,3749,1,1,1.316846,CALCULATED,0.316846
CSTPTY2606005095,PTY,PTY 200/72/RND/BSD/IM/DH/N/1/Z,33591,CSTPOY2606001571,POY,1658,1,1,1.316846,CALCULATED,0.316846
CSTPTY2606000962,PTY,PTY 200/72/RND/BSD/NI/DH/N/1/Z,8849,CSTPOY2606001572,POY,1659,1,1,1.316846,CALCULATED,0.316846
CSTPTY2606003100,PTY,PTY 200/72/RND/BSD/SIM/DH/N/1/Z,30846,CSTPOY2606001571,POY,1658,1,1,1.316846,CALCULATED,0.316846
CSTPTY2606000960,PTY,PTY 200/72/RND/BSD/HIM/DH/N/1/Z,8847,CSTPOY2606001571,POY,1658,1,1,1.316846,CALCULATED,0.316846
CSTPTY2606000961,PTY,PTY 200/72/RND/BSD/NI/DH/N/1/Z,8848,CSTPOY2606001571,POY,1658,1,1,1.316846,CALCULATED,0.316846
CSTACY2606000094,ACY,ACY 450/144+70/RND/SD-PU/HIM/DH/N/1/ZO,23181,CSTPTY2606000968,PTY,8855,1,1,1.316671,CALCULATED,0.316671
CSTPTY2606004477,PTY,PTY 225/48/RND/SD/NI/DH/N/1/S,32821,CSTPOY2606003324,POY,3411,1,1,1.316142,CALCULATED,0.316142
CSTPTY2606006412,PTY,PTY 450/96/RND/SD/LIM/DH/N/1/Z,34477,CSTPOY2606003318,POY,3405,1,1,1.316142,CALCULATED,0.316142
CSTPTY2606005677,PTY,PTY 225/48/RND/SD/NI/HSSH/N/4/SZ,33734,CSTPOY2606003324,POY,3411,1,1,1.316142,CALCULATED,0.316142
CSTPTY2606004509,PTY,PTY 225/48/RND/SD/NI/HSSH/N/1/S,32853,CSTPOY2606003324,POY,3411,1,1,1.316142,CALCULATED,0.316142
CSTPTY2606004490,PTY,PTY 225/48/RND/SD/NI/HSSH/N/3/SSS,32834,CSTPOY2606003324,POY,3411,1,1,1.316142,CALCULATED,0.316142
CSTPTY2606006245,PTY,PTY 225/48/RND/SD/NI/HSSH/N/2/SZ,34310,CSTPOY2606003324,POY,3411,1,1,1.316142,CALCULATED,0.316142
CSTPTY2606006111,PTY,PTY 450/96/RND/SD/LIM/DH/N/2/Z,34176,CSTPOY2606003318,POY,3405,1,1,1.316142,CALCULATED,0.316142
